Name,Country,Start year,End year,Proven victims,Possible victims,Notes,Continent,Country Sorted,Killer Type,Decade
Ángel Maturino Reséndiz,"United States, Mexico",1986,1999,15,18,"Known as the ""Railroad Killer"" because his killings were committed near the railroad tracks he used to traverse the country. He was charged with and/or confessed to 15 murders occurring from 1986 to 1999 in Texas, Florida, Illinois, Georgia, and Kentucky. He was also suspected in a 1997 California murder case and claimed two additional killings he refused to elaborate on. Executed by lethal injection in 2006.",North America,Multiple Countries,Male,1980s
Chester Turner,United States,1987,1998,15,15,Convicted of killing 15 people in Los Angeles in the 1980s and 1990s. Sentenced to death.,North America,United States,Male,1980s
Alexander Labutkin,Soviet Union,1933,1935,15,15,"Known as the ""One-Armed Bandit""; killed people in the forest near the Prigorodny settlement using a revolver; executed 1935.",Multiple continents,Soviet Union,Male,1930s
Florencio Fernández,Argentina,1950,,15,15,"Stalked his victims, then would beat and bite them while they were asleep. Died from natural causes a few years after his 1960 arrest.",South America,Argentina,Male,1950s
Elifasi Msomi,South Africa,1953,1956,15,15,Killed his victims with an axe or a knife in the 1950s; executed by hanging in 1956.,Africa,South Africa,Male,1950s
Abdullah Aksoy,Turkey,1962,1967,15,15,"Known as ""The Monster of Çumra""; killed fifteen men in Çumra from 1962 to 1967 after having sexual intercourse with them, then buried their bodies in his home; committed suicide in prison before being tried.",Asia,Turkey,Male,1960s
Maurizio Minghella,Italy,1978,2001,15,15,"Killed five sex workers; imprisoned and released, after which he killed 10 more; sentenced to life imprisonment.",Europe,Italy,Male,1970s
Bai Baoshan,China,1983,1997,15,15,Robber who killed 15 people while robbing several police stations; executed by gunshot in 1998.,Asia,China,Male,1980s
Lee Choon-jae,South Korea,1986,1994,15,15,"Also known as the Hwaseong serial murders. Most of the victims were bound, gagged, and strangled to death with their own clothes. It sparked the largest criminal case in South Korea with two million officers mobilized and over 21,000 suspects investigated. A suspect was identified in 2019, but he could not be prosecuted due to the statute of limitations. He later confessed to killing 15 people, in addition to the murder of his sister-in-law.",Asia,South Korea,Male,1980s
Carl Eugene Watts,United States,1974,1982,14,100,"Believed to have killed over 80 women in multiple states, in 1982 Watts accepted a plea bargain in Texas in which he would plead guilty to a lesser charge and be granted immunity from murder charges in exchange for providing information on his victims; as a result he confessed to 12 murders and was sentenced to 60 years in prison on the lesser charge. He was sentenced to life imprisonment in separate trials in Michigan in 2004 and 2007, and died of cancer a week after the 2007 sentence was handed down. Watts is now suspected to have killed more than 100 women, which would make him the most prolific serial killer in American history.",North America,United States,Male,1970s
Belle Gunness,United States,1884,1908,14,40,"Norwegian-born murder-for-profit killer who murdered her suitors and relatives in Indiana. High possibility of committing over 40 murders. May have faked her own death in the fire that destroyed her home in 1908; her children had died of strychnine poisoning before the fire, and the woman's body found next to them was decapitated and, reportedly, smaller than Gunness' own. Ultimate fate unknown.",North America,United States,Female,1880s
Philipp Tyurin,Soviet Union,1945,1946,14,29,"Known as the ""Leningrad Maniac"" and the ""Hellraiser""; murdered people for monetary reasons at his hut in Leningrad; executed 1947.",Multiple continents,Soviet Union,Male,1940s
Zdzisław Marchwicki,Poland,1964,1970,14,21,"Also known as Vampire of Zagłębie. Killed 14 women in 1964–1970 in Poland's region of Dąbrowa Basin. Zdzisław Marchwicki was most likely the man responsible for the killings; however, his guilt remains in dispute. Executed in 1977.",Europe,Poland,Male,1960s
Julio Pérez Silva,Chile,1998,2001,14,19,Known as The Psychopath from Alto Hospicio; killed 14 women. Sentenced to life imprisonment in 2004.,South America,Chile,Male,1990s
Monster of Florence,Italy,1968,1985,14,16,"Unidentified killer who shot couples in lovers lanes and mutilated the women, taking their sexual organs and in the last two cases, also their left breast. 69-year-old farmer Pietro Pacciani was controversially convicted of 14 crimes in 1994 and sentenced to life in prison, but he was released following allegations that the scant evidence had been planted in an attempt to close the case, which was by then the largest and most mediatic in Italy's criminal history. Pacciani was scheduled for retrial in 1998 when he died after taking medication contraindicated to his heart problems. Pacciani's two alleged accomplices, Mario Vanni and Giancarlo Lotti, were sentenced to life and 30 years in prison, respectively. Some believe that none of the accused were guilty, and that Lotti incriminated himself and the other two because he was homeless and wanted to live in prison.",Europe,Italy,Unidentified,1960s
Joachim Kroll,West Germany,1955,1976,14,14,"Known as the ""Ruhr Cannibal"" and ""The Duisburg Man-Eater""; died from a heart attack in prison in 1991.",Europe,West Germany,Male,1950s
Arthur Shawcross,United States,1972,1989,14,14,"Committed arson and burglary, served two years of a five-year sentence. Within a year of his release, he raped and murdered two children in 1972. Under a plea bargain, he was sentenced to 25 years. Released after serving 14⁠1/2⁠ years, he began killing again a year later, targeting sex workers. Known as the ""Genesee River Killer"", ""Genesee River Strangler"", ""Rochester Strangler"", and ""Monster of the Rivers"", he strangled and battered his victims. Sentenced to life without parole. Died of cardiac arrest in 2008.",North America,United States,Male,1970s
Naceur Damergi,Tunisia,1980,1988,14,14,Raped and killed minors in the Nabeul region; executed by hanging in 1990.,Africa,Tunisia,Male,1980s
Muthukutty Chandran,India,1985,1986,14,14,"Committed 14 robbery-murders between 1985 and 1986 in Kerala, executed by hanging on 6 July 1991.",Asia,India,Male,1980s
Marcelo Costa de Andrade,Brazil,1991,2000,14,14,Known as The Vampire of Niterói. Raped and killed 14 children in Rio de Janeiro and Niterói. Drank the blood of his victims. Found not guilty by reason of insanity.,South America,Brazil,Male,1990s
Sergey Shipilov,Russia,1995,1999,14,14,"Known as the ""Velsk Chikatilo""; killed female hitchhikers in the town of Velsk, most of them while out on prison leave; sentenced to life imprisonment.",Europe,Russia,Male,1990s
Dorángel Vargas,Venezuela,1997,1999,14,14,"Homeless cannibal known as ""The People Eater"" (El Comegente) and ""The Hannibal Lecter of the Andes"". Murdered a homeless man and was institutionalized. After escaping the institution, he went on to kill ten other men and was arrested. In 2016, he and several other inmates killed three others and Vargas fed their remains to them.",South America,Venezuela,Male,1990s
Hua Ruizhuo,China,1998,2001,14,14,Was responsible for the murders of 14 sex workers in Beijing's Chaoyang District.,Asia,China,Male,1990s
Denis Pischikov,Russia,2002,2003,14,14,"Known at the ""Shivering Creature""; robbed and killed elderly people around the Moscow Oblast and Vladimir Oblast; sentenced to life imprisonment.",Europe,Russia,Male,2000s
Abdufatto Zamanov,Russia,2002,2004,14,14,Killed people out of personal hostility; also raped two young girls; sentenced to life imprisonment.,Europe,Russia,Male,2000s
Jeong Nam-gyu,South Korea,2004,2006,14,14,"Kidnapped, raped and murdered people; killed himself.",Asia,South Korea,Male,2000s
Amir Qayyum,Pakistan,2005,2014,14,14,"Known as ""The brick killer"". Killed 14 homeless men with rocks or bricks when they were asleep. Sentenced to death in May 2006.",Asia,Pakistan,Male,2000s
Denis Kazungu,Rwanda,2023,2032,14,14,"Murdered 14 people at his home in Kigali, arrested and pleaded guilty in September 2023.",Africa,Rwanda,Male,2020s
Jake Bird,United States,1930,1947,13,46,Sentenced to death for the murders of two people; confessed to 44 other murders; 11 were substantiated and he was suspected in the others. Executed by hanging in 1949.,North America,United States,Male,1930s
Cleveland Torso Murderer,United States,1934,1938,13,40,"Unidentified serial killer, also known as ""The Mad Butcher of Kingsbury Run"", who targeted drifters and derelicts, of whom only two were identified, between 1934 and 1938 in Cleveland, Ohio.",North America,United States,Unidentified,1930s
Kaspars Petrovs,Latvia,2003,2012,13,38,"Confessed to strangling 38 elderly residents of Riga, Latvia, in 2003. Convicted and sentenced to life imprisonment for the robbery and murder of 13.",Europe,Latvia,Male,2000s
Peter Sutcliffe,United Kingdom,1975,1980,13,33,"Killed at least 13 women between 30 October 1975 and 17 November 1980. Most victims were killed by a combination of bludgeoning and stabbing, and all but two were killed in the county of Yorkshire. Owing to the modus operandi and location of the murders, Sutcliffe became known as the ""Yorkshire Ripper."" Sentenced to 20 concurrent life sentences. After three years he was sent to a secure psychiatric facility, where he served 25 years before being found ""fit to leave"" in 2009. Government officials and courts ruled in 2010 that he would never be released. In 2015, he was declared ""no longer mentally ill"", and transferred to a maximum security prison. After his 1981 conviction police investigated 60 unsolved murders and attempted murders across Britain they thought Sutcliffe could be responsible for, but were able to eliminate him from 40. He has since also been linked by several investigators to the murder of Carol Wilkinson, for which an innocent man spent many years in prison. Sutcliffe died in hospital on 13 November 2020 at age 74, after being diagnosed with COVID-19.",Europe,United Kingdom,Male,1970s
Fosaville Serial Killer,South Africa,1999,2003,13,26,"Kidnapped, bound, and strangled at least 13 women in Fosaville, South Africa. He may also be responsible for the ""Riverman"" murders.",Africa,South Africa,Male,1990s
William Suff,United States,1986,1992,13,23,"Previously served 10 years of a 70-year sentence for beating his baby daughter to death. Beginning two years after his release, this county store clerk raped, stabbed, strangled, and sometimes mutilated 12 or more sex workers in Riverside County, California. Known as the ""Riverside Prostitute Killer"" and the ""Lake Elsinore Killer."" Sentenced to death.",North America,United States,Male,1980s
